frame,split,participant,camera,step,frame_index,segment_start,segment_end,video,verified
P06_cam01_take_cup_00070.jpg,dev,P06,cam01,take_cup,70,47,95,data/BreakfastII_15fps_qvga_sync/P06/cam01/P06_tea.avi, unclear
P06_cam01_add_teabag_00145.jpg,dev,P06,cam01,add_teabag,145,95,197,data/BreakfastII_15fps_qvga_sync/P06/cam01/P06_tea.avi, yes
P06_cam01_pour_water_00338.jpg,dev,P06,cam01,pour_water,338,197,482,data/BreakfastII_15fps_qvga_sync/P06/cam01/P06_tea.avi, yes
P07_webcam01_take_cup_00099.jpg,dev,P07,webcam01,take_cup,99,50,151,data/BreakfastII_15fps_qvga_sync/P07/webcam01/P07_tea.avi, yes
P07_webcam01_add_teabag_00196.jpg,dev,P07,webcam01,add_teabag,196,151,244,data/BreakfastII_15fps_qvga_sync/P07/webcam01/P07_tea.avi, yes
P07_webcam01_pour_water_00341.jpg,dev,P07,webcam01,pour_water,341,244,441,data/BreakfastII_15fps_qvga_sync/P07/webcam01/P07_tea.avi, yes
P12_cam01_add_teabag_00061.jpg,dev,P12,cam01,add_teabag,61,30,94,data/BreakfastII_15fps_qvga_sync/P12/cam01/P12_tea.avi, no
P12_cam01_pour_water_00148.jpg,dev,P12,cam01,pour_water,148,94,204,data/BreakfastII_15fps_qvga_sync/P12/cam01/P12_tea.avi, yes
P14_cam01_add_teabag_00133.jpg,dev,P14,cam01,add_teabag,133,96,173,data/BreakfastII_15fps_qvga_sync/P14/cam01/P14_tea.avi, unclear
P14_cam01_pour_water_00281.jpg,dev,P14,cam01,pour_water,281,173,391,data/BreakfastII_15fps_qvga_sync/P14/cam01/P14_tea.avi, yes
P15_cam01_add_teabag_00059.jpg,dev,P15,cam01,add_teabag,59,10,110,data/BreakfastII_15fps_qvga_sync/P15/cam01/P15_tea.avi, unclear
P15_cam01_pour_water_00201.jpg,dev,P15,cam01,pour_water,201,110,295,data/BreakfastII_15fps_qvga_sync/P15/cam01/P15_tea.avi, yes
P19_cam01_pour_water_00132.jpg,dev,P19,cam01,pour_water,132,48,218,data/BreakfastII_15fps_qvga_sync/P19/cam01/P19_tea.avi, yes
P19_cam01_add_teabag_00277.jpg,dev,P19,cam01,add_teabag,277,218,338,data/BreakfastII_15fps_qvga_sync/P19/cam01/P19_tea.avi, yes
P22_cam01_add_teabag_00101.jpg,dev,P22,cam01,add_teabag,101,86,119,data/BreakfastII_15fps_qvga_sync/P22/cam01/P22_tea.avi, unclear
P22_cam01_pour_water_00203.jpg,dev,P22,cam01,pour_water,203,119,290,data/BreakfastII_15fps_qvga_sync/P22/cam01/P22_tea.avi, yes
P24_cam01_take_cup_00162.jpg,dev,P24,cam01,take_cup,162,106,221,data/BreakfastII_15fps_qvga_sync/P24/cam01/P24_tea.avi, unclear
P24_cam01_add_teabag_00263.jpg,dev,P24,cam01,add_teabag,263,221,307,data/BreakfastII_15fps_qvga_sync/P24/cam01/P24_tea.avi, unclear
P24_cam01_pour_water_00507.jpg,dev,P24,cam01,pour_water,507,307,710,data/BreakfastII_15fps_qvga_sync/P24/cam01/P24_tea.avi, yes
P26_webcam02_add_teabag_00215.jpg,dev,P26,webcam02,add_teabag,215,11,421,data/BreakfastII_15fps_qvga_sync/P26/webcam02/P26_tea.avi, yes
P26_webcam02_pour_water_00545.jpg,dev,P26,webcam02,pour_water,545,421,671,data/BreakfastII_15fps_qvga_sync/P26/webcam02/P26_tea.avi, yes
P29_cam01_add_teabag_00209.jpg,dev,P29,cam01,add_teabag,209,50,370,data/BreakfastII_15fps_qvga_sync/P29/cam01/P29_tea.avi, unclear
P29_cam01_pour_water_00499.jpg,dev,P29,cam01,pour_water,499,370,630,data/BreakfastII_15fps_qvga_sync/P29/cam01/P29_tea.avi, yes
P30_cam01_add_teabag_00073.jpg,dev,P30,cam01,add_teabag,73,22,127,data/BreakfastII_15fps_qvga_sync/P30/cam01/P30_tea.avi, unclear 
P30_cam01_pour_water_00211.jpg,dev,P30,cam01,pour_water,211,127,297,data/BreakfastII_15fps_qvga_sync/P30/cam01/P30_tea.avi, yes
P33_cam01_take_cup_00064.jpg,dev,P33,cam01,take_cup,64,30,100,data/BreakfastII_15fps_qvga_sync/P33/cam01/P33_tea.avi, yes
P33_cam01_pour_water_00179.jpg,dev,P33,cam01,pour_water,179,100,260,data/BreakfastII_15fps_qvga_sync/P33/cam01/P33_tea.avi, yes
P33_cam01_add_teabag_00354.jpg,dev,P33,cam01,add_teabag,354,260,450,data/BreakfastII_15fps_qvga_sync/P33/cam01/P33_tea.avi, no
P35_cam01_add_teabag_00166.jpg,dev,P35,cam01,add_teabag,166,50,285,data/BreakfastII_15fps_qvga_sync/P35/cam01/P35_tea.avi, no
P35_cam01_pour_water_00349.jpg,dev,P35,cam01,pour_water,349,285,415,data/BreakfastII_15fps_qvga_sync/P35/cam01/P35_tea.avi, yes
P43_cam02_take_cup_00140.jpg,dev,P43,cam02,take_cup,140,126,157,data/BreakfastII_15fps_qvga_sync/P43/cam02/P43_tea.avi, unclear
P43_cam02_add_teabag_00235.jpg,dev,P43,cam02,add_teabag,235,157,316,data/BreakfastII_15fps_qvga_sync/P43/cam02/P43_tea.avi, yes
P43_cam02_pour_water_00445.jpg,dev,P43,cam02,pour_water,445,316,576,data/BreakfastII_15fps_qvga_sync/P43/cam02/P43_tea.avi, yes
P49_cam01_add_teabag_00060.jpg,dev,P49,cam01,add_teabag,60,11,111,data/BreakfastII_15fps_qvga_sync/P49/cam01/P49_tea.avi, yes
P49_cam01_pour_water_00225.jpg,dev,P49,cam01,pour_water,225,111,341,data/BreakfastII_15fps_qvga_sync/P49/cam01/P49_tea.avi, yes
P03_cam01_take_cup_00163.jpg,test,P03,cam01,take_cup,163,89,239,data/BreakfastII_15fps_qvga_sync/P03/cam01/P03_tea.avi, unclear
P03_cam01_add_teabag_00578.jpg,test,P03,cam01,add_teabag,578,239,919,data/BreakfastII_15fps_qvga_sync/P03/cam01/P03_tea.avi, no
P03_cam01_pour_water_01045.jpg,test,P03,cam01,pour_water,1045,919,1174,data/BreakfastII_15fps_qvga_sync/P03/cam01/P03_tea.avi, yes
P05_cam01_take_cup_00206.jpg,test,P05,cam01,take_cup,206,127,288,data/BreakfastII_15fps_qvga_sync/P05/cam01/P05_tea.avi, no
P09_cam01_pour_water_00212.jpg,test,P09,cam01,pour_water,212,143,283,data/BreakfastII_15fps_qvga_sync/P09/cam01/P09_tea.avi, yes
P09_cam01_add_teabag_00332.jpg,test,P09,cam01,add_teabag,332,283,383,data/BreakfastII_15fps_qvga_sync/P09/cam01/P09_tea.avi, yes
